column,type,trained,metric_primary,metric_secondary,fallback
Income_Score,regression,True,mse=0.00006,r2=0.9832,none
Coast_Distance,regression,True,mse=0.00019,r2=0.9801,none
Index_of_Multiple_Deprivation,regression,True,mse=0.52451,r2=0.9973,none
Employment_Score,regression,True,mse=15.87962,r2=0.9384,none
Albumin_Albumin,regression,True,mse=3.54718,r2=0.4850,none
Calcium_Calcium,regression,True,mse=0.00511,r2=0.4311,none
HDL_Cholesterol,regression,True,mse=0.00749,r2=0.9493,none
Total_Protein,regression,True,mse=9.22529,r2=0.4502,none
Glucose_Glucose,regression,True,mse=0.66192,r2=0.6126,none
Phosphate_Phosphate,regression,True,mse=0.01922,r2=0.2563,none
Apolipoprotein_A,regression,True,mse=0.00739,r2=0.8998,none
Shbg,regression,True,mse=360.79332,r2=0.5249,none
Testosterone,regression,True,mse=4.26155,r2=0.8839,none
Direct_Bilirubin,regression,True,mse=0.05971,r2=0.9132,none
MET_Moderate,regression,True,mse=5086.36089,r2=0.9965,none
Activity_Days,regression,True,mse=0.29166,r2=0.9875,none
Activity_Recommendation,regression,True,mse=0.00002,r2=0.9999,none
MET_Walking,regression,True,mse=5936.64890,r2=0.9948,none
MET_Vigorous,regression,True,mse=6285.74163,r2=0.9954,none
IPAQ_Activity_Group,regression,True,mse=0.00048,r2=0.9968,none
Activity_Minutes,regression,True,mse=104.87300,r2=0.9896,none
Walking_Recommendation_Compliance,regression,True,mse=0.00087,r2=0.9941,none
Total_MET_Minutes_per_Week,regression,True,mse=6335.64322,r2=0.9991,none
Breastfed_Baby,regression,True,mse=0.18390,r2=0.0789,none
FEV1_Z_Score,regression,True,mse=0.00375,r2=0.9970,none
FEV1_FVC_Ratio,regression,True,mse=0.00927,r2=0.9884,none
FVC_Z_Score,regression,True,mse=0.00535,r2=0.9952,none
Spirometry_Quality,regression,True,mse=0.08186,r2=0.0990,none
Sunburns,regression,True,mse=0.21410,r2=0.1374,none
Lipoprotein_A,regression,False,mse=2356.15944,r2=0.0215,median
FEV1_(Best_Measure),regression,True,mse=0.00642,r2=0.9895,none
FVC_(Best_Measure),regression,True,mse=0.01083,r2=0.9889,none
Email_Access,regression,False,mse=0.06467,r2=0.0258,median
Bowel_Open_Min,regression,True,mse=7295.04911,r2=0.2187,none
Bowel_Open_Max,regression,True,mse=1907.53442,r2=0.4941,none
Bowel_Open_Average,regression,True,mse=4068.44912,r2=0.3667,none
Headache,regression,True,mse=0.18840,r2=0.2088,none
Breath_Shortness,regression,True,mse=0.16005,r2=0.2642,none
Heart_Pounding,regression,True,mse=0.17364,r2=0.1805,none
Back_Pain,regression,True,mse=0.20411,r2=0.1495,none
Limb_Joint_Pain,regression,True,mse=0.16754,r2=0.1635,none
Tiredness,regression,True,mse=0.15552,r2=0.3162,none
Sleep_Trouble,regression,True,mse=0.16397,r2=0.2664,none
Dizziness,regression,True,mse=0.16016,r2=0.1864,none
Nausea,regression,True,mse=0.10358,r2=0.1875,none
Chest_Pain,regression,True,mse=0.09515,r2=0.2064,none
Fainting,regression,True,mse=0.02884,r2=0.0934,none
Loose_Stools_Frequency,regression,True,mse=0.19391,r2=0.1692,none
Hard_Stools_Frequency,regression,True,mse=0.20094,r2=0.1928,none
Urinary_Frequency,regression,True,mse=0.22031,r2=0.1083,none
Abdomen_Pain_Frequency,regression,True,mse=0.13654,r2=0.4499,none
Recent_Abdominal_Pain,regression,True,mse=0.11318,r2=0.4575,none
Abdominal_Distension,regression,True,mse=0.12470,r2=0.3120,none
Bowel_Satisfaction,regression,True,mse=0.11267,r2=0.2667,none
Bowel_Interference,regression,True,mse=0.15387,r2=0.3840,none
Coeliac_Disease,regression,False,mse=0.01618,r2=0.0477,median
IBS,regression,True,mse=0.08246,r2=0.2479,none
Caesarian_Born,regression,False,mse=0.02584,r2=0.0132,median
Sensitive_Stomach,regression,True,mse=0.12573,r2=0.2929,none
