"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.31349,1.2789,0.05772,1.0641e-20,0.90434,2.1833,0
-0.29385,1.2631,0.050493,-3.8943e-20,0.95033,2.2943,0
-0.27491,1.2476,0.043835,-1.6824e-20,0.99803,2.4095,0
-0.25669,1.2324,0.037878,-2.3442e-20,1.0475,2.5289,0
-0.23926,1.2176,0.032416,1.4739e-20,1.0988,2.6528,0
-0.22042,1.202,0.028915,3.2731e-20,1.152,2.7812,0
-0.59199,0.11487,-0.012624,-5.2413e-21,0.33051,1.0172,0
-0.59956,0,0,0,0.30902,0.95106,0
-0.57805,0.28605,-0.016501,3.1856e-20,0.35279,1.0857,0
-0.56505,0.49532,-0.0018894,4.7467e-20,0.37591,1.1568,0
-0.55019,0.7146,0.02353,1.3911e-20,0.39989,1.2306,0
-0.5319,0.91715,0.053004,-6.3275e-20,0.42475,1.3071,0
-0.51025,1.0829,0.080572,-4.7878e-20,0.45054,1.3864,0
-0.486,1.2025,0.10181,3.6877e-20,0.47729,1.4687,0
-0.46026,1.2772,0.11482,3.0541e-20,0.50503,1.5541,0
-0.43419,1.3152,0.12,1.3129e-20,0.5338,1.6426,0
-0.40864,1.3276,0.11909,2.2349e-20,0.56364,1.7344,0
-0.38407,1.3244,0.11418,-4.7783e-20,0.59459,1.8296,0
-0.36067,1.3132,0.10705,-4.5876e-20,0.62669,1.9283,0
-0.33843,1.2985,0.098953,3.2136e-20,0.65999,2.0308,0
-0.31729,1.2828,0.090647,2.2603e-21,0.69452,2.137,0
-0.29719,1.2671,0.082548,-7.7372e-20,0.73033,2.2472,0
-0.27805,1.2518,0.074873,-2.3335e-20,0.76747,2.3614,0
-0.25981,1.2371,0.067733,1.661e-20,0.80599,2.4799,0
-0.24244,1.2228,0.061209,-1.278e-20,0.84595,2.6029,0
-0.22595,1.209,0.055122,2.3037e-20,0.88739,2.7303,0
-0.20835,1.1944,0.05046,4.5177e-20,0.93037,2.8626,0
-0.61402,0.16303,-0.010495,-2.9562e-20,0.24968,1.0399,0
-0.62273,0,0,0,0.23345,0.97237,0
-0.59776,0.37605,-0.0050505,2.7956e-20,0.26651,1.11,0
-0.58179,0.61417,0.022921,8.1095e-20,0.28397,1.1826,0
-0.56244,0.84354,0.060261,7.748e-20,0.30208,1.258,0
-0.53839,1.0368,0.097026,-4.9851e-20,0.32087,1.3362,0
-0.51069,1.1789,0.12656,-8.9039e-20,0.34035,1.4172,0
-0.48103,1.2688,0.14562,7.5586e-20,0.36055,1.5013,0
-0.45102,1.3152,0.15435,1.2243e-19,0.38151,1.5885,0
-0.42188,1.3311,0.15497,-5.0232e-21,0.40324,1.6789,0
-0.39427,1.3288,0.1503,-7.6049e-20,0.42578,1.7727,0
-0.3684,1.3172,0.14271,-4.3451e-20,0.44916,1.87,0
-0.34425,1.3019,0.13383,1.2684e-20,0.47341,1.9709,0
-0.32169,1.2857,0.12457,2.5879e-20,0.49856,2.0756,0
-0.30055,1.2697,0.11542,-2.9422e-20,0.52464,2.1841,0
-0.2807,1.2544,0.10661,-4.349e-20,0.55169,2.2967,0
-0.26202,1.2397,0.098256,4.3854e-20,0.57975,2.4134,0
-0.2444,1.2256,0.090426,3.0892e-20,0.60885,2.5345,0
-0.22777,1.2121,0.083167,-5.6338e-20,0.63903,2.6601,0
-0.21211,1.1991,0.076339,-1.6276e-20,0.67033,2.7904,0
-0.19563,1.1856,0.070496,4.7911e-20,0.70279,2.9255,0
-0.63469,0.21673,-0.0023476,-1.0789e-19,0.16731,1.0562,0
-0.64448,0,0,0,0.15643,0.98769,0
-0.61593,0.47021,0.017112,-5.9103e-20,0.17859,1.1273,0
-0.59621,0.72953,0.060169,1.0613e-19,0.19028,1.201,0
-0.57137,0.95831,0.10797,1.4567e-19,0.20241,1.2775,0
-0.54091,1.1329,0.14854,3.5095e-20,0.21499,1.3568,0
-0.50717,1.247,0.17626,-9.9154e-20,0.22804,1.4391,0
-0.47261,1.3083,0.19035,-1.3506e-20,0.24158,1.5244,0
-0.43903,1.3315,0.19341,4.5177e-20,0.25561,1.6129,0
-0.40747,1.3318,0.18919,-4.036e-20,0.27017,1.7047,0
-0.37831,1.3205,0.18097,-5.2443e-20,0.28527,1.7998,0
-0.3515,1.3046,0.17096,-1.092e-20,0.30093,1.8985,0
-0.32685,1.2877,0.1604,1.6734e-20,0.31718,2.0009,0
-0.30411,1.2711,0.14989,-1.1913e-20,0.33402,2.1071,0
