"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0,1,0,0,3.3867,0.23569,0
0,1,0,0,3.5993,0,0
0,1,0,0,3.5938,0.23551,0
0,1,0,0,3.8141,0,0
0,1,0,0,3.8087,0.23532,0
0,1,0,0,4.037,0,0
0,1,0,0,4.0316,0.23512,0
0,1,0,0,4.2681,0,0
0,1,0,0,4.2628,0.23492,0
0,1,0,0,4.5078,0,0
0,1,0,0,4.5026,0.23471,0
0,1,0,0,4.7565,0,0
0,1,0,0,4.7513,0.23449,0
0,1,0,0,5.0144,0,0
0,1,0,0,5.0093,0.23426,0
0,1,0,0,5.282,0,0
0,1,0,0,5.2769,0.23402,0
0,1,0,0,5.5595,0,0
0,1,0,0,5.5544,0.23377,0
0,1,0,0,5.8473,0,0
0,1,0,0,5.8423,0.23352,0
0,1,0,0,6.1459,0,0
0,1,0,0,6.1409,0.23326,0
0,1,0,0,6.4555,0,0
0,1,0,0,6.4507,0.23298,0
0,1,0,0,6.7767,0,0
0,1,0,0,6.7719,0.2327,0
0,1,0,0,7.1099,0,0
0,1,0,0,7.1052,0.2324,0
0,1,0,0,7.4555,0,0
0,1,0,0,7.4508,0.2321,0
0,1,0,0,7.8139,0,0
0,1,0,0,7.8093,0.23178,0
0,1,0,0,8.1857,0,0
0,1,0,0,8.1812,0.23145,0
0,1,0,0,8.5714,0,0
0,1,0,0,8.5669,0.23111,0
0,1,0,0,8.9714,0,0
0,1,0,0,8.967,0.23075,0
0,1,0,0,9.3863,0,0
0,1,0,0,9.382,0.23039,0
0,1,0,0,9.8166,0,0
0,1,0,0,9.8125,0.23,0
0,1,0,0,10.263,0,0
0,1,0,0,10.259,0.22961,0
0,1,0,0,10.726,0,0
0,1,0,0,10.722,0.2292,0
0,1,0,0,11.206,0,0
0,1,0,0,11.202,0.22877,0
0,1,0,0,11.704,0,0
0,1,0,0,11.701,0.22833,0
0,1,0,0,12.221,0,0
0,1,0,0,12.217,0.22788,0
0,1,0,0,12.757,0,0
0,1,0,0,12.753,0.2274,0
0,1,0,0,13.313,0,0
0,1,0,0,13.309,0.22691,0
0,1,0,0,13.89,0,0
0,1,0,0,13.886,0.2264,0
0,1,0,0,14.488,0,0
0,1,0,0,14.484,0.22587,0
0,1,0,0,15.108,0,0
0,1,0,0,15.105,0.22532,0
0,1,0,0,15.751,0,0
0,1,0,0,15.748,0.22475,0
0,1,0,0,16.419,0,0
0,1,0,0,16.416,0.22416,0
0,1,0,0,17.111,0,0
0,1,0,0,17.108,0.22355,0
0,1,0,0,17.829,0,0
0,1,0,0,17.827,0.22291,0
0,1,0,0,18.574,0,0
0,1,0,0,18.572,0.22225,0
0,1,0,0,19.346,0,0
0,1,0,0,19.344,0.22157,0
0,1,0,0,20.148,0,0
0,1,0,0,20.146,0.22086,0
0,1,0,0,20.979,0,0
0,1,0,0,20.977,0.22012,0
0,1,0,0,21.841,0,0
0,1,0,0,21.839,0.21936,0
0,1,0,0,22.735,0,0
0,1,0,0,22.734,0.21857,0
0,1,0,0,23.663,0,0
0,1,0,0,23.661,0.21774,0
0,1,0,0,24.625,0,0
0,1,0,0,24.624,0.21689,0
0,1,0,0,25.623,0,0
0,1,0,0,25.622,0.21601,0
0,1,0,0,26.658,0,0
0,1,0,0,26.657,0.21509,0
0,1,0,0,27.731,0,0
0,1,0,0,27.731,0.21414,0
0,1,0,0,28.845,0,0
0,1,0,0,28.845,0.21315,0
0,1,0,0,30,0.21213,0
0,1,0,0,30,0,0
0,1,0,0,3.1622,0.4705,0
0,1,0,0,3.3622,0.47016,0
0,1,0,0,3.5695,0.4698,0
0,1,0,0,3.7846,0.46943,0
0,1,0,0,4.0077,0.46904,0
0,1,0,0,4.239,0.46864,0
0,1,0,0,4.4791,0.46823,0
0,1,0,0,4.728,0.4678,0
0,1,0,0,4.9862,0.46736,0
0,1,0,0,5.2541,0.4669,0
0,1,0,0,5.5319,0.46642,0
0,1,0,0,5.82,0.46592,0
0,1,0,0,6.1189,0.46541,0
0,1,0,0,6.4289,0.46487,0
0,1,0,0,6.7505,0.46432,0
0,1,0,0,7.0841,0.46374,0
0,1,0,0,7.43,0.46315,0
0,1,0,0,7.7889,0.46253,0
0,1,0,0,8.1611,0.46189,0
0,1,0,0,8.5472,0.46122,0
0,1,0,0,8.9476,0.46053,0
0,1,0,0,9.363,0.45982,0
0,1,0,0,9.7938,0.45908,0
0,1,0,0,10.241,0.45831,0
0,1,0,0,10.704,0.45751,0
0,1,0,0,11.185,0.45668,0
0,1,0,0,11.684,0.45582,0
0,1,0,0,12.201,0.45493,0
0,1,0,0,12.738,0.454,0
0,1,0,0,13.294,0.45304,0
0,1,0,0,13.871,0.45205,0
0,1,0,0,14.47,0.45102,0
0,1,0,0,15.091,0.44995,0
0,1,0,0,15.735,0.44884,0
0,1,0,0,16.403,0.44769,0
0,1,0,0,17.097,0.44649,0
0,1,0,0,17.815,0.44526,0
0,1,0,0,18.561,0.44397,0
0,1,0,0,19.334,0.44264,0
0,1,0,0,20.137,0.44126,0
0,1,0,0,20.969,0.43982,0
0,1,0,0,21.832,0.43834,0
0,1,0,0,22.727,0.43679,0
0,1,0,0,23.656,0.43519,0
0,1,0,0,24.619,0.43353,0
0,1,0,0,25.618,0.43181,0
0,1,0,0,26.654,0.43003,0
0,1,0,0,27.729,0.42818,0
0,1,0,0,28.844,0.42626,0
0,1,0,0,30,0.42426,0
0,1,0,0,3.1185,0.70232,0
0,1,0,0,3.3187,0.70183,0
0,1,0,0,3.5264,0.70132,0
